Item Number,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr
60982830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,3912,5432,8732,10031,11693,12204,13070,11890,10607,19819,18218,26184,23175,25578,29619,17395,30825,28150,28150,24153,22817
60982831,42219,40664,46839,43051,40091,37633,45319,32905,48790,40272,36234,37505,40566,42091,27550,1309,15917,35591,35463,38968,38668,43287,28804,39116,35371,35894,41506,37345,29697,39608,29622,28103,41431,38883,39643,39401,39353,40562,45558,40152,34228,43519,29735,30844,40100,41288,39359,38686
